"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1959",11802.8289,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1960",13280.0862,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1961",11386.5571,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1962",13359.6178,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1963",14861.4115,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1964",17697.4748,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1965",18183.9713,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1966",18491.0987,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1967",20319.4796,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1968",21020.0346,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1969",22772.2682,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1970",23471.131,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1971",21704.514,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1972",21995.5659,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1973",28624.6099,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1974",29315.8581,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1975",27871.5979,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1976",30521.5234,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1977",29091.6466,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1978",31453.0585,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1979",31486.9017,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1980",34452.4154,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1981",38433.2261,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1982",35195.2744,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1983",37302.0159,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1984",43496.1744,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1985",43389.5682,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1986",41338.668,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1987",45977.7298,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1988",57456.5097,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1989",60726.6125,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1990",57266.9876,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1991",59277.2759,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1992",63110.0225,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1993",67695.7811,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1994",78702.4479,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1995",82307.5987,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1996",90363.1352,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1997",99451.7365,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1998",104245.6311,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1999",116834.4692,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2000",115592.4224,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2001",117181.3624,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2002",132645.1835,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2003",150226.7452,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2004",168862.5237,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2005",182215.3729,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2006",200890.0711,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2007",229958.0274,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2008",221536.1379,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2009",235782.4485,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2010",259959.2111,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2011",290182.9139,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2012",292037.5233,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2013",286873.8914,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2014",286621.7593,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2015",290820.0129,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1970",29271.813,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1971",31112.284,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1972",34891.2612,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1973",38224.456,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1974",40864.0059,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1975",38964.3438,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1976",45750.9651,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1977",49612.9913,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1978",49112.7436,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1979",54144.7821,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1980",57235.208,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1981",56888.1725,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1982",54823.7334,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1983",57113.671,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1984",60907.911,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1985",64280.9574,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1986",62004.6123,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1987",64381.2674,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1988",70460.4476,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1989",77618.0761,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1990",83812.255,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1991",88098.7202,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1992",89962.986,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1993",85024.4932,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1994",93808.8231,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1995",99348.1246,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1996",103480.6071,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1997",110996.7556,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1998",117380.1504,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1999",122137.1519,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2000",134584.9273,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2001",141557.7705,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2002",141970.5406,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2003",146951.105,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2004",158699.7035,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2005",167344.659,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2006",177156.2205,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2007",187107.6412,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2008",188827.4991,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2009",166132.9165,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2010",186050.9889,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2011",197592.1561,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2012",199752.7427,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2013",201054.0692,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2014",203689.0381,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2015",210577.7141,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1970",66808.8517,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1971",69243.741,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1972",75869.7288,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1973",89971.2617,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1974",93944.7829,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1975",85412.3498,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1976",95991.1072,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1977",100570.7706,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1978",103254.3091,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1979",112501.6546,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1980",110340.5059,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1981",108205.1916,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1982",109671.0968,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1983",108319.6958,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1984",115244.053,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1985",115713.3943,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1986",121023.3683,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1987",129195.9469,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1988",142658.3669,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1989",156486.9486,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1990",164105.8806,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1991",168798.0354,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1992",175747.5583,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1993",175113.3813,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1994",187862.3522,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1995",196601.1602,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1996",207365.216,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1997",224406.0911,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1998",235610.2704,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1999",243292.1967,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2000",275255.5362,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2001",273358.452,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2002",275852.4854,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2003",279931.2164,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2004",297509.5987,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2005",315982.14,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2006",330518.8639,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2007",349867.8581,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2008",362308.9364,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2009",329284.4945,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2010",360977.1833,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2011",387366.8893,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2012",392808.9916,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2013",393976.3307,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2014",417111.905,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2015",435125.3519,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1970",68612.4234,"E"
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1971",73112.3933,"E"
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1972",83621.1452,"E"
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1973",95738.9767,"E"
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1974",105447.7863,"E"
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1975",102236.3143,"E"
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1976",108666.7812,"E"
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1977",108232.9566,"E"
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1978",111491.2381,"E"
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1979",119244.9116,"E"
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1980",115463.3658,"E"
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1981",118411.5338,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1982",99497.278,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1983",109611.8639,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1984",128781.7978,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1985",139587.4055,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1986",148801.6886,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1987",156882.6958,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1988",178221.4513,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1989",188631.2022,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1990",192307.4386,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1991",197288.7191,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1992",207428.9715,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1993",222971.0406,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1994",241492.4011,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1995",255567.5295,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1996",269267.5317,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1997",307992.3975,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1998",324437.7309,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","1999",350601.7934,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2000",380403.5924,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2001",361732.1814,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2002",368314.6583,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2003",383890.2914,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2004",416443.3446,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2005",446904.576,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2006",470611.5621,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2007",497675.9273,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2008",501949.404,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2009",439460.296,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2010",499992.8249,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2011",527864.6986,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2012",546836.2105,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2013",555857.9947,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2014",567812.6731,
"CAN","TRADEGOODSERV","IMP","MLN_USD","A","2015",569721.8678,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","1990",23928.8223,"E"
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","1991",16069.7753,"E"
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","1992",20839.8166,"E"
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","1993",25789.3669,"E"
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","1994",29646.0682,"E"
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","1995",36516.8536,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","1996",40817.5618,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","1997",43200.7121,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","1998",45572.1859,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","1999",47713.1674,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2000",54634.3775,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2001",60765.8817,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2002",63693.8987,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2003",69176.4429,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2004",87225.6359,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2005",98404.0423,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2006",109691.778,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2007",123782.755,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2008",127728.6662,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2009",113649.3658,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2010",130581.4931,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2011",139332.3996,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2012",143040.6974,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2013",143133.6379,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2014",157524.9041,
"CZE","TRADEGOODSERV","IMP","MLN_USD","A","2015",170473.8916,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1966",19944.7909,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1967",21341.8207,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1968",22700.6219,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1969",25607.9444,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1970",27942.5506,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1971",28349.0174,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1972",28675.4711,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1973",33779.0659,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1974",33097.3538,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1975",31454.5948,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1976",36732.9739,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1977",37048.5813,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1978",37407.9293,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1979",39901.1393,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1980",37680.8631,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1981",37890.1419,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1982",39078.604,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1983",39848.6862,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1984",41985.2153,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1985",46154.4343,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1986",50067.7889,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1987",49477.8252,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1988",51567.9467,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1989",54351.5156,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1990",55642.7501,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1991",57885.9635,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1992",57810.2177,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1993",56992.1276,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1994",64565.9953,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1995",69087.4499,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1996",71243.7156,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1997",77803.7277,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1998",83697.4969,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","1999",85834.2038,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2000",97565.0218,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2001",99901.7616,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2002",106271.698,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2003",105182.9856,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2004",112689.6423,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2005",125416.0017,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2006",142930.5264,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2007",151274.8319,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2008",158490.9518,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2009",139561.439,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2010",140316.052,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2011",150760.614,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2012",154844.6633,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2013",157121.8378,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2014",162743.7401,
"DNK","TRADEGOODSERV","IMP","MLN_USD","A","2015",164796.5221,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1970",16663.9772,"E"
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1971",16635.0289,"E"
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1972",17469.2883,"E"
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1973",19699.0545,"E"
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1974",20978.5185,"E"
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1975",21502.3327,"E"
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1976",21192.6899,"E"
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1977",20825.9702,"E"
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1978",20004.0614,"E"
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1979",23694.0895,"E"
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1980",25720.3229,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1981",24540.2608,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1982",25081.9504,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1983",26112.3526,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1984",26352.0734,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1985",28028.7948,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1986",29016.8154,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1987",31568.9813,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1988",35000.5651,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1989",38147.3976,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1990",38004.3598,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1991",32942.4095,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1992",33172.8594,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1993",33624.4881,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1994",37932.8409,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1995",41038.6162,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1996",44006.6514,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1997",49235.4792,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1998",53406.0918,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","1999",55696.0217,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2000",63973.6745,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2001",64858.39,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2002",67642.3303,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2003",70420.9728,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2004",76142.4864,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2005",84658.5357,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2006",90321.7746,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2007",97004.8205,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2008",104693.1044,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2009",87049.1218,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2010",92707.0631,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2011",98301.432,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2012",99905.31,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2013",100363.5609,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2014",100199.3322,
"FIN","TRADEGOODSERV","IMP","MLN_USD","A","2015",102106.5035,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1950",19707.4359,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1951",23413.1755,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1952",24101.8763,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1953",24104.5251,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1954",25109.7633,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1955",26769.2671,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1956",31831.2174,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1957",34567.4783,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1958",33111.9358,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1959",33186.1036,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1960",37857.3487,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1961",40677.0483,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1962",43580.1867,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1963",49236.8036,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1964",56744.9658,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1965",58184.6152,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1966",64849.1191,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1967",71136.162,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1968",79707.8371,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1969",96019.4487,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1970",103029.6273,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1971",110492.7591,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1972",126852.05,
"FRA","TRADEGOODSERV","IMP","MLN_USD","A","1973",145852.2432,
